gene,base_mean,log2fc,lfc_se,stat,pvalue,padj
CA2,837.25,-0.79,0.09,-8.84,9.31E-19,1.85E-14
SRGN,326.13,1.33,0.16,8.19,2.61E-16,2.60E-12
LCE1A,372.80,1.29,0.17,7.62,2.58E-14,1.34E-10
THY1,348.68,0.70,0.09,7.61,2.70E-14,1.34E-10
C3,2015.74,0.92,0.12,7.58,3.41E-14,1.36E-10
ALDH1A3,461.40,0.76,0.10,7.55,4.32E-14,1.43E-10
MAP2K6,379.35,-0.55,0.08,-7.38,1.59E-13,4.53E-10
LCE1B,618.10,1.10,0.15,7.34,2.06E-13,5.13E-10
TIMP1,235.00,0.59,0.08,7.09,1.32E-12,2.93E-09
PFKP,1091.50,0.73,0.10,7.01,2.31E-12,4.60E-09
NNMT,468.90,1.24,0.18,6.97,3.13E-12,5.66E-09
OSMR,1799.86,0.61,0.09,6.94,3.90E-12,6.46E-09
LCE1C,860.91,1.07,0.16,6.91,4.96E-12,7.05E-09
SOX9,6248.75,-0.50,0.07,-6.91,4.83E-12,7.05E-09
MET,914.35,0.59,0.09,6.88,5.96E-12,7.90E-09
VEGFA,2880.15,0.73,0.11,6.69,2.22E-11,2.60E-08
LCE1E,181.80,1.29,0.19,6.68,2.42E-11,2.67E-08
BHLHE22,148.30,-1.22,0.18,-6.67,2.58E-11,2.71E-08
RASD1,706.69,-0.66,0.10,-6.65,2.88E-11,2.87E-08
ERO1A,2542.63,0.61,0.09,6.61,3.90E-11,3.52E-08
GFPT2,174.77,1.02,0.15,6.61,3.78E-11,3.52E-08
SFRP2,252.21,1.15,0.18,6.53,6.65E-11,5.64E-08
ARG1,997.63,0.75,0.12,6.51,7.74E-11,6.16E-08
FREM2,1085.60,-0.63,0.10,-6.49,8.46E-11,6.47E-08
HOXC10,85.40,-1.19,0.18,-6.45,1.14E-10,8.12E-08
NPNT,700.56,-0.86,0.13,-6.36,1.96E-10,1.26E-07
MEDAG,124.88,1.69,0.27,6.35,2.13E-10,1.33E-07
ADCYAP1,89.76,1.67,0.26,6.35,2.21E-10,1.33E-07
RNF223,157.30,0.79,0.12,6.33,2.42E-10,1.41E-07
HMOX1,1060.57,0.72,0.11,6.33,2.49E-10,1.42E-07
PTPRZ1,1883.54,-0.55,0.09,-6.32,2.70E-10,1.45E-07
SOX18,84.39,-1.11,0.18,-6.32,2.65E-10,1.45E-07
SOSTDC1,1211.24,-0.90,0.15,-6.24,4.38E-10,2.23E-07
HOXC11,54.21,-1.09,0.18,-6.18,6.30E-10,3.13E-07
DACH1,1411.92,-0.83,0.13,-6.17,6.94E-10,3.37E-07
PPFIA4,551.26,1.05,0.17,6.16,7.12E-10,3.37E-07
DENND3,817.22,0.70,0.11,6.15,7.51E-10,3.44E-07
PTX3,22.10,2.68,0.44,6.15,7.60E-10,3.44E-07
SAMD4A,1132.29,0.87,0.14,6.12,9.11E-10,4.03E-07
ECM1,561.10,0.71,0.12,6.08,1.24E-09,5.24E-07
TMEM144,383.61,-0.57,0.09,-6.08,1.23E-09,5.24E-07
MT1M,26.78,2.06,0.34,6.06,1.36E-09,5.66E-07
PTGDS,679.99,0.87,0.14,6.03,1.61E-09,6.53E-07
IL6R,772.67,0.60,0.10,6.03,1.66E-09,6.61E-07
PCDH11X,214.82,-0.78,0.13,-6.00,1.96E-09,7.64E-07
SDCBP2,997.69,0.61,0.10,5.97,2.34E-09,8.62E-07
ARG2,122.94,0.63,0.11,5.93,3.07E-09,1.11E-06
NAMPTP1,101.97,0.72,0.12,5.93,3.12E-09,1.11E-06
FAM107A,309.66,0.63,0.11,5.91,3.43E-09,1.20E-06
C1R,352.61,0.87,0.15,5.88,4.10E-09,1.38E-06
AOX1,270.20,0.79,0.13,5.87,4.43E-09,1.42E-06
FLG,121454.25,0.65,0.11,5.85,4.84E-09,1.53E-06
EPOP,138.05,1.19,0.20,5.84,5.32E-09,1.65E-06
CTNND2,987.81,-0.75,0.13,-5.80,6.54E-09,2.00E-06
PRSS8,2311.02,0.50,0.09,5.75,9.00E-09,2.63E-06
BACH2,945.53,0.80,0.14,5.74,9.64E-09,2.75E-06
DEPTOR,360.09,-0.61,0.11,-5.74,9.67E-09,2.75E-06
TP73,518.28,-0.73,0.13,-5.73,1.01E-08,2.83E-06
TGFB2,632.21,-0.99,0.17,-5.71,1.16E-08,3.20E-06
SLC26A7,127.96,-0.69,0.12,-5.70,1.23E-08,3.35E-06
IL1RL1,270.92,0.92,0.16,5.69,1.30E-08,3.45E-06
ARHGAP28,1950.69,-0.54,0.10,-5.66,1.54E-08,4.04E-06
LCE5A,89.52,1.40,0.25,5.65,1.63E-08,4.21E-06
LHX2,735.16,-0.85,0.15,-5.64,1.70E-08,4.29E-06
LCE2D,197.33,1.40,0.25,5.62,1.86E-08,4.62E-06
VSNL1,1182.34,-0.51,0.09,-5.59,2.27E-08,5.50E-06
HRH1,270.87,0.66,0.12,5.57,2.54E-08,6.09E-06
CELF2,749.19,0.54,0.10,5.57,2.59E-08,6.13E-06
PPP1R16B,159.19,0.60,0.11,5.56,2.69E-08,6.29E-06
TRIL,853.41,-0.51,0.09,-5.53,3.14E-08,6.95E-06
TEDC1,281.57,-0.91,0.16,-5.51,3.53E-08,7.72E-06
IRAK3,827.77,0.64,0.12,5.48,4.16E-08,8.62E-06
CLDN8,279.97,-0.86,0.16,-5.47,4.51E-08,9.16E-06
PDE4A,138.50,0.67,0.12,5.46,4.81E-08,9.43E-06
TRPM6,1078.41,-0.63,0.11,-5.46,4.81E-08,9.43E-06
PCDHGA7,147.96,-0.55,0.10,-5.44,5.39E-08,1.01E-05
RNASE7,411.60,1.07,0.20,5.40,6.85E-08,1.25E-05
BIRC3,818.54,0.93,0.17,5.39,7.14E-08,1.29E-05
CYP1B1,2740.57,-0.73,0.14,-5.36,8.32E-08,1.49E-05
ELMOD1,553.46,0.51,0.10,5.35,8.69E-08,1.52E-05
NAMPT,3654.94,0.68,0.13,5.35,8.62E-08,1.52E-05
STK10,1070.77,0.52,0.10,5.35,8.62E-08,1.52E-05
SGIP1,210.58,0.63,0.12,5.35,8.84E-08,1.53E-05
KRT17P2,107.83,-0.67,0.13,-5.31,1.09E-07,1.88E-05
DPP10,134.82,-0.68,0.13,-5.29,1.23E-07,2.08E-05
SAMD9,784.73,-0.69,0.13,-5.27,1.38E-07,2.29E-05
SLC25A48,236.60,-0.65,0.12,-5.26,1.45E-07,2.37E-05
ABCC3,1434.86,0.79,0.15,5.24,1.64E-07,2.66E-05
PRRX2,202.33,0.55,0.10,5.20,1.96E-07,3.09E-05
ART3,103.19,-0.69,0.13,-5.19,2.07E-07,3.17E-05
ZDHHC11B,274.32,0.59,0.11,5.19,2.11E-07,3.20E-05
CA12,3697.75,0.53,0.10,5.17,2.32E-07,3.47E-05
ENO2,246.18,0.54,0.11,5.17,2.40E-07,3.51E-05
SYTL3,176.05,0.80,0.16,5.16,2.50E-07,3.64E-05
TRIB3,156.38,0.72,0.14,5.15,2.61E-07,3.70E-05
TMEM40,1239.62,0.53,0.10,5.15,2.63E-07,3.71E-05
HDC,99.93,1.18,0.23,5.14,2.75E-07,3.82E-05
NCCRP1,2600.50,0.64,0.13,5.13,2.85E-07,3.88E-05
AC254813.1,136.21,0.65,0.13,5.12,3.07E-07,4.10E-05
C1orf68,508.58,0.92,0.18,5.10,3.36E-07,4.42E-05
KCNH1,118.99,-0.53,0.10,-5.10,3.41E-07,4.44E-05
KPRP,2249.51,1.19,0.23,5.10,3.48E-07,4.44E-05
SLA,322.46,0.83,0.16,5.09,3.51E-07,4.45E-05
COCH,318.36,-0.90,0.18,-5.09,3.59E-07,4.53E-05
IL18R1,230.73,0.76,0.15,5.08,3.82E-07,4.75E-05
BARX2,2378.28,-0.54,0.11,-5.07,3.89E-07,4.80E-05
LMX1B,226.65,-0.62,0.12,-5.06,4.15E-07,4.98E-05
NDRG1,12009.81,0.62,0.12,5.06,4.15E-07,4.98E-05
TACC1,2377.37,0.53,0.10,5.06,4.15E-07,4.98E-05
PFKFB3,2554.28,0.64,0.13,5.05,4.33E-07,5.13E-05
CRCT1,1105.91,0.70,0.14,5.03,4.83E-07,5.59E-05
LAPTM5,400.08,0.80,0.16,5.03,4.83E-07,5.59E-05
ATP10A,297.65,0.59,0.12,5.03,5.00E-07,5.75E-05
ST3GAL1,670.01,0.52,0.10,5.01,5.37E-07,6.14E-05
LCE1D,93.75,1.14,0.23,5.01,5.41E-07,6.15E-05
SHISA2,850.34,-0.88,0.18,-5.01,5.46E-07,6.18E-05
MT1A,25.51,3.15,0.63,5.00,5.61E-07,6.30E-05
CP,154.71,0.67,0.13,5.00,5.75E-07,6.39E-05
ASPHD2,156.92,0.75,0.15,4.99,5.93E-07,6.43E-05
LCE2A,193.82,1.27,0.25,4.99,5.90E-07,6.43E-05
PDZRN3,5709.11,-0.71,0.14,-4.99,5.93E-07,6.43E-05
AC129492.6,199.51,1.06,0.21,4.97,6.75E-07,7.23E-05
