gene,ensembl_id,association_score,genetic_association,clinical,literature
SRD5A2,ENSG00000277893,0.7011,0.703,0.9757,0.0792
FGF5,ENSG00000138675,0.5284,0.8439,0,0.1343
SRD5A1,ENSG00000145545,0.5055,0,0.8277,0.0775
SRD5A3,ENSG00000128039,0.5039,0,0.8277,0.0228
RUNX1,ENSG00000159216,0.5036,0.8278,0,0.0122
IRF4,ENSG00000137265,0.4942,0.8122,0,0.0152
EBF1,ENSG00000164330,0.4935,0.8111,0,0.0122
TWIST2,ENSG00000233608,0.4897,0.8056,0,0
WNT10A,ENSG00000135925,0.4765,0.7818,0,0.041
TWIST1,ENSG00000122691,0.4757,0.7824,0,0
TBX15,ENSG00000092607,0.4716,0.7738,0,0.038
PRDM6,ENSG00000061455,0.4607,0.7578,0,0
FMN1,ENSG00000248905,0.4605,0.7575,0,0
PAX3,ENSG00000135903,0.4601,0.7549,0,0.038
RSPO2,ENSG00000147655,0.4599,0.7565,0,0
HDAC9,ENSG00000048052,0.4579,0.7496,0,0.0727
DKK2,ENSG00000155011,0.4544,0.7475,0,0
RUNX3,ENSG00000020633,0.4518,0.7431,0,0
PBX1,ENSG00000185630,0.4491,0.7388,0,0
PDGFA,ENSG00000197461,0.449,0.7386,0,0
GLIS1,ENSG00000174332,0.4453,0.7325,0,0
SPAG17,ENSG00000155761,0.4441,0.7305,0,0
COMMD7,ENSG00000149600,0.4408,0.7252,0,0
AR,ENSG00000169083,0.4406,0.6037,0.4559,0.3197
RREB1,ENSG00000124782,0.4368,0.7186,0,0
KLF15,ENSG00000163884,0.4309,0.7089,0,0
CEP112,ENSG00000154240,0.4296,0.7066,0,0
MRPS22,ENSG00000175110,0.4284,0.7032,0,0.0304
EYA4,ENSG00000112319,0.4274,0.7031,0,0
CIROZ,ENSG00000175262,0.427,0.7024,0,0
LRMDA,ENSG00000148655,0.4261,0.6993,0,0.0304
PRDM1,ENSG00000057657,0.425,0.6992,0,0
ZHX3,ENSG00000174306,0.423,0.6958,0,0
CDCA7,ENSG00000144354,0.4195,0.6901,0,0
LAMC3,ENSG00000050555,0.4162,0.6847,0,0
ZNF462,ENSG00000148143,0.4161,0.6845,0,0
EPC1,ENSG00000120616,0.413,0.6793,0,0
ABCC9,ENSG00000069431,0.4118,0,0.6774,0
KCNJ11,ENSG00000187486,0.4118,0,0.6774,0
HMGB1,ENSG00000189403,0.4092,0.6732,0,0
WARS2,ENSG00000116874,0.4084,0.6703,0,0.0304
BCL2,ENSG00000171791,0.4067,0.6672,0,0.0355
CASZ1,ENSG00000130940,0.4054,0.6669,0,0
GLI2,ENSG00000074047,0.4054,0.6653,0,0.0304
PAM,ENSG00000145730,0.4052,0.6666,0,0
TCHH,ENSG00000159450,0.4007,0.6592,0,0
APCDD1,ENSG00000154856,0.3999,0.6578,0,0
TET2,ENSG00000168769,0.399,0.6563,0,0
SIM1,ENSG00000112246,0.3989,0.6562,0,0
LGR4,ENSG00000205213,0.3973,0.6535,0,0
