gene,ensembl_id,log2fc,ave_expr,pvalue,padj
SSC5D,ENSG00000179954,-1.2105351069088801,3.09200295612884,3.43510216405632E-9,7.4490190427561198E-5
LRFN5,ENSG00000165379,-1.3292107250816001,1.83773249109853,1.5525126818634999E-8,1.6833118753105001E-4
SPAG17,ENSG00000155761,-1.1331382077382299,2.5551926687717699,1.9951461654152699E-7,1.0412961213554599E-3
PRG4,ENSG00000116690,-2.3096623210782101,0.86890637724355102,2.8811513618320401E-7,1.0412961213554599E-3
WIF1,ENSG00000156076,-1.5465726975263301,3.0508733299053401,9.8478973236860195E-7,2.2220212637575599E-3
CADPS,ENSG00000163618,-1.06999739312585,3.0539687816609802,1.12714936137114E-6,2.2220212637575599E-3
C5orf46,ENSG00000178776,-1.0355980370069,4.3532255044987602,1.6086330417459599E-6,2.46046631865177E-3
OTOP2,ENSG00000183034,-2.66851398995734,-2.66304119327217,2.56720306605509E-7,1.0412961213554599E-3
GUCY2C,ENSG00000070019,-1.02248667384006,1.29105232237878,3.51620780932619E-6,4.0131034918546504E-3
SP8,ENSG00000164651,-2.4765325473852,-1.41661235775592,1.9288875912879902E-6,2.46046631865177E-3
ASIC2,ENSG00000108684,-1.6124597307305599,-1.2830122009979701,1.79592161508025E-6,2.46046631865177E-3
KCTD16,ENSG00000183775,-1.35425242364359,-0.27548389778287302,4.0523197034897597E-6,4.2429636567043001E-3
MMP27,ENSG00000137675,-1.0965220501376101,1.1086209828675999,5.7901163664994099E-6,5.4590727568495498E-3
MATN4,ENSG00000124159,-1.46580791830598,1.9535210292285401,1.0898968376567E-5,7.38575403893301E-3
GALNT8,ENSG00000130035,-1.2636732751787201,-0.35418582446174202,1.2664640891694199E-5,7.6286871593441398E-3
S100A9,ENSG00000163220,2.29814549637846,6.2081545997111203,1.6085038553911998E-5,8.7201015260395393E-3
SCARA5,ENSG00000168079,-1.0923455623321101,5.8077932110481001,1.57845826488516E-5,8.7201015260395393E-3
LTF,ENSG00000012223,1.92383553563589,3.3566113938114999,3.1899338130713398E-5,1.1157050763943899E-2
MFAP5,ENSG00000197614,-1.4139972501547999,4.5362882086779299,3.0744314558077701E-5,1.09293518228183E-2
ENSG00000242068,ENSG00000242068,-1.31268982855937,-1.8022545897070099,1.69181024489062E-5,8.9480256488910209E-3
IGHG4,ENSG00000277016,3.1713340084420198,-0.32505309679802302,2.84663333534857E-5,1.06429730822472E-2
TNXB,ENSG00000229341,-3.2275273607233301,1.60987527010738,4.2413364796169802E-5,1.22361466102407E-2
TBX5,ENSG00000089225,-1.2308518762121801,-0.37662093251205198,3.6079590841181798E-5,1.1505675402809201E-2
IGHG1,ENSG00000277633,2.6518665217556401,3.42224648453637,4.2111265214811102E-5,1.22361466102407E-2
KCNA6,ENSG00000151079,-1.04717726966826,1.7388649203709901,5.5933203448368898E-5,1.3941511687102099E-2
KRT6C,ENSG00000170465,1.6811946533717801,3.86262599790496,7.5636732408394003E-5,1.6080221002706101E-2
CFAP61,ENSG00000089101,-1.4192029372658299,-1.27056616674798,5.5380332567117401E-5,1.3941511687102099E-2
KRT16,ENSG00000186832,1.04418473028368,7.9805215875471101,6.3563198058658505E-5,1.4560752508001E-2
ZP1,ENSG00000149506,1.7031572355208,1.2532607582019899,8.6518534638037198E-5,1.72196503951727E-2
S100A8,ENSG00000143546,2.0246138879584898,5.30449187043207,7.9551705025792505E-5,1.63633821772237E-2
HLA-C,ENSG00000204525,-3.76731535004062,0.85678613379121804,9.96716202187057E-5,1.8337692338138201E-2
TAC1,ENSG00000006128,-1.3262289008388,-0.84888389436313705,7.7082747133688404E-5,1.6228537588291601E-2
CDH10,ENSG00000040731,-1.65305550920207,-2.5821307263418301,5.0231851906879202E-5,1.33304895512062E-2
CHRNA1,ENSG00000138435,2.4085181897544801,-1.3079967344854599,5.5391810630164298E-5,1.3941511687102099E-2
MROH2A,ENSG00000185038,-1.71324350654639,-1.31996484401671,1.07533854906441E-4,1.8958306045903799E-2
HAND2,ENSG00000164107,-1.95216074724165,-1.2567080722263799,1.18128482292224E-4,2.0330286813546702E-2
CPZ,ENSG00000109625,-1.1322692351266599,3.1650387809362202,1.5358238322283501E-4,2.2968510208187499E-2
HLA-DPA1,ENSG00000235844,-3.8485231126358501,-1.6930684843569499,1.3479810523854099E-4,2.1978172271411699E-2
CGA,ENSG00000135346,-2.4515937459182902,-3.0970006444875602,4.2249860466652203E-5,1.22361466102407E-2
GALNT15,ENSG00000131386,-1.2015050077576701,3.8119340863335802,1.8384959939833501E-4,2.5393494031547101E-2
FAM83A,ENSG00000147689,1.0026770291447,3.4610324865487399,2.0792757494978101E-4,2.6683468513636299E-2
RNF2P1,ENSG00000231381,1.26875040048737,-0.491423567948855,1.9424977686523801E-4,2.6280894249348399E-2
LCEP3,ENSG00000285753,-1.46376573208519,0.40333236374258002,2.5634745776927E-4,2.8952576154826101E-2
OTOP3,ENSG00000182938,-1.79731907714585,-1.99922543564376,1.4848691311793901E-4,2.2675624725088099E-2
RBPJP7,ENSG00000234217,-2.0877793201259598,-2.7201562814278999,1.4536679447478901E-4,2.2675624725088099E-2
ELANE,ENSG00000277571,-2.0055719324519901,-0.95986969304018799,3.0682617268948398E-4,3.2142635530296899E-2
HHATL,ENSG00000010282,-1.2905919510132,-0.78093565561790501,3.1058164975519598E-4,3.22247037078537E-2
ASTN1,ENSG00000152092,-1.1029147996447599,-0.56057061224668103,3.34258963028414E-4,3.3402790844567598E-2
CTSE,ENSG00000196188,-1.33691059259772,-1.98962171821173,2.0280083326856401E-4,2.6652205574677901E-2
CLEC4GP1,ENSG00000268297,-1.3260913676566599,-2.0694595514890799,1.8956175408903499E-4,2.58531235057907E-2
LCE6A,ENSG00000235942,-1.37977674823042,2.6860986128077999,3.6250692701475799E-4,3.4629791684207198E-2
MUC1,ENSG00000185499,1.49881564667831,3.6114432738756301,3.8408855748659599E-4,3.5746611026166698E-2
ENSG00000240882,ENSG00000240882,-1.2215309894017401,-2.2231240036828699,2.28802637319904E-4,2.8351915373040701E-2
PITX1,ENSG00000069011,1.1432780390545401,0.488130793597914,4.7328240018640501E-4,3.9625980108271001E-2
